"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Return.On.Assets","Book.to.Market.Ratio","Earning.Per.Share","Sales.Per.Share","Price.to.Earning.Ratio","Return.On.Assets.t","Return.On.Assets.out","Earning.Per.Share.t","Earning.Per.Share.out","Sales.Per.Share.t","Sales.Per.Share.out","Price.to.Earning.Ratio.t","Price.to.Earning.Ratio.out","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out"
"2900","DBD",770497,"DIEBOLD NIXDORF, Inc",101003,"Technology","Application Software","2017-12-31",2017,0.623395204212052,0.804828158859388,-3.08741721854305,61.0503311258278,-5.29568854568855,1.6883682257035,"False",2.99074962009128,"False",4.11169862438849,"False",9.34877677472498,"False",-0.21712649160637,"False"
"2909","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2011-12-31",2011,0.313633162985394,0.348825874570108,0.465531970822107,3.02849444700007,20.6215697346132,1.62941356512483,"False",3.155021612541,"False",1.10806561385623,"False",9.35103089623202,"False",-1.05318240801828,"False"
"2910","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2012-12-31",2012,0.312615692561134,0.165254978524988,0.476499883753656,4.32721510468289,74.6415712000205,1.62921407573966,"False",3.15548914739208,"False",1.46492417220563,"False",9.35571294983641,"False",-1.80026567347276,"False"
"2911","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2013-12-31",2013,0.269819539174537,0.102124515547874,0.448273759312146,5.21785086337443,207.306357040833,1.62078704313364,"False",3.15428549503388,"False",1.65208560512066,"False",9.36711917570032,"False",-2.28156246953049,"False"
"2912","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2014-12-31",2014,0.200838392221184,0.36696739371167,0.10772705812651,6.05104468492821,305.122970696915,1.60705261689601,"False",3.13964814440707,"False",1.80023093233085,"False",9.37544668075176,"False",-1.00248228034685,"False"
"2913","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2015-12-31",2015,0.209135173253479,0.681922677081599,-5.85422750939992,5.94953067366861,-1.48439738394977,1.60871455409874,"False",2.84105221592174,"False",1.78331233807145,"False",9.3491085758928,"False",-0.382839004279498,"False"
"2914","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2016-12-31",2016,0.264097282821824,0.430108426273092,-0.34552878432219,5.69269442121073,-38.462786902314,1.61965486629354,"False",3.11982793024825,"False",1.73918367229624,"False",9.34588467560808,"False",-0.843717947956567,"False"
"2915","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2017-12-31",2017,0.251142998603869,0.648270161801725,-0.593353891388924,5.79153593775212,-14.5612932271759,1.61708705133259,"False",3.10882245338614,"False",1.75639753062908,"False",9.34796967565149,"False",-0.433447753154653,"False"
"2916","DDD",545133,"3D SYSTEMS CORP",101001,"Technology","Computer Hardware","2018-12-31",2018,0.315780933652365,0.511971828563219,-0.405111860906105,6.12194752819892,-25.1041773431491,1.6298345351477,"False",3.11719298913235,"False",1.81188026946377,"False",9.34705052359794,"False",-0.669485677793876,"False"
"3067","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2011-12-31",2011,0.274496102024327,0.235021777133531,0.761238223418573,4.85047106325707,31.3830799151344,1.62171137340231,"False",3.16755096068678,"False",1.57907582667768,"False",9.35196537441693,"False",-1.44807710047813,"False"
"3068","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2012-12-31",2012,0.350892187472746,0.366365918009184,1.18357418800973,6.34926312777221,17.4893979690522,1.63669144411316,"False",3.18517781911655,"False",1.84833876330059,"False",9.3507587492349,"False",-1.00412266904254,"False"
"3069","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2013-12-31",2013,0.0665069846320611,0.385082603368019,-0.0738421205942325,5.09233906204486,-260.82674556213,1.57975290569506,"False",3.13175549147982,"False",1.62773726568274,"False",9.32627595421969,"False",-0.954297413505167,"False"
"3070","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2014-12-31",2014,-0.158596906785565,0.267384762901914,-2.20119660498122,3.57005704744678,-12.3342003792668,1.53226577521355,"False",3.03431891076355,"False",1.27258157534084,"False",9.34816373051732,"False",-1.31906659835403,"False"
"3071","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2015-12-31",2015,-0.203374494358101,0.171922673352467,-2.1876067333496,2.70663576482069,-16.6894713951154,1.52254467723225,"False",3.03497247077046,"False",0.995706448502134,"False",9.34778420439658,"False",-1.76071047678933,"False"
"3072","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2016-12-31",2016,-0.20168664905507,0.26604992018575,-2.35872877666522,2.37189812799303,-12.718715393134,1.52291282311127,"False",3.02671158237617,"False",0.86369053248682,"False",9.34813022898646,"False",-1.32407131793698,"False"
"3073","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2017-12-31",2017,-0.231221002602693,0.215488157336422,-2.43789613092423,2.38511020717056,-14.8283593962206,1.51645126599357,"False",3.02286657960702,"False",0.869245331729985,"False",9.34794640265612,"False",-1.53484932530373,"False"
"3074","DMRC",110139,"Digimarc CORP",101003,"Technology","Application Software","2018-12-31",2018,-0.440885623189344,0.343704468188441,-2.86144366197183,1.86549295774648,-5.06737217744416,1.46933956900959,"False",3.00204075039694,"False",0.623525338676764,"False",9.3487966544588,"False",-1.06797309495353,"False"
"3084","DOCU",810159,"DOCUSIGN INC",101003,"Technology","Application Software","2019-01-31",2018,-0.168333625311607,0.113406725313679,-3.15513861041853,5.18610122592721,-12.7030869159448,1.53015998438027,"False",2.98734083346636,"False",1.6459822060018,"False",9.34813159066626,"False",-2.17677458332992,"False"
"3085","DOMO",770174,"DOMO, INC.",101003,"Technology","Application Software","2019-01-31",2018,-0.353071434429591,0.13866694005379,-9.43324367282064,8.70913314586135,-2.08093850650319,1.48934223407953,"False",2.60673839191498,"False",2.16437226190024,"False",9.34905664982962,"False",-1.97568033584917,"False"
