"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Long Term Debt","Income Tax (Expense) Benefit, Net","Shares (Diluted)","Revenue","Inventories"
"7158","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2009-12-31",2009,5.059e+09,-2.04e+09,4.658e+09,3.099e+10,2.354e+09
"7159","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2010-12-31",2010,1.4041e+10,-2.37e+09,4.667e+09,3.5119e+10,2.65e+09
"7160","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2011-12-31",2011,1.3656e+10,-2.812e+09,4.646e+09,4.6542e+10,3.092e+09
"7161","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2012-12-31",2012,1.4736e+10,-2.723e+09,4.584e+09,4.8017e+10,3.264e+09
"7162","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2013-12-31",2013,1.9154e+10,-2.851e+09,4.509e+09,4.6854e+10,3.277e+09
"7163","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2014-12-31",2014,1.9063e+10,-2.201e+09,4.45e+09,4.5998e+10,3.1e+09
"7164","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2015-12-31",2015,2.8311e+10,-2.239e+09,4.405e+09,4.4294e+10,2.902e+09
"7165","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2016-12-31",2016,2.9684e+10,-1.586e+09,4.367e+09,4.1863e+10,2.675e+09
"7166","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2017-12-31",2017,3.1182e+10,-5.56e+09,4.324e+09,3.541e+10,2.655e+09
"7167","KO",82117,"COCA COLA CO",102005,"Consumer Defensive","Beverages - Non-Alcoholic","2018-12-31",2018,2.5364e+10,-1.623e+09,4.299e+09,3.1856e+10,2.766e+09
"7168","KONA",884107,"KONA GRILL INC",103003,"Consumer Cyclical","Restaurants","2015-12-31",2015,0,-43000,11264000,143023000,1865000
"7169","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2011-12-31",2011,520854356.698647,4806280.86750629,74081,23400000,6348000
"7170","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2012-12-31",2012,521565394.630884,0,81945,19023000,6290000
"7171","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2013-12-31",2013,521803535.877629,0,82633,17963000,4259000
"7172","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2014-12-31",2014,522201300.161903,403000,121172,15987000,5606000
"7173","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2015-12-31",2015,0,8827600.59245637,201760,16042000,4598000
"7174","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2016-12-31",2016,2489000,0,245555,11929000,3593000
